iter	Quantile:alpha=0.5
0	28.06580441
1	27.567441
2	27.09281105
3	26.63780369
4	26.20113931
5	25.79943841
6	25.40738942
7	25.02335847
8	24.64643117
9	24.27549221
10	23.92317581
11	23.57881123
12	23.25884521
13	22.94964712
14	22.6465887
15	22.36714181
16	22.09514068
17	21.82604381
18	21.56466754
19	21.3156014
20	21.0916002
21	20.86175084
22	20.63532126
23	20.42488893
24	20.22451982
25	20.0234863
26	19.82789755
27	19.64973673
28	19.47798245
29	19.30764889
30	19.14155651
31	18.99097275
32	18.84198304
33	18.69483974
34	18.55101158
35	18.42120555
36	18.29260854
37	18.17301246
38	18.05019785
39	17.93482136
40	17.82413285
41	17.71999493
42	17.61974116
43	17.52323297
44	17.43656742
45	17.35167309
46	17.27358192
47	17.19720854
48	17.11674484
49	17.03959996
50	16.96468396
51	16.89508448
52	16.83125296
53	16.76431723
54	16.70242172
55	16.63905225
56	16.57676664
57	16.51802551
58	16.46294314
59	16.41014219
60	16.36149364
61	16.31020038
62	16.26416381
63	16.21715924
64	16.17489249
65	16.13203194
66	16.09013775
67	16.04879308
68	16.01611135
69	15.97808258
70	15.94193114
71	15.90602223
72	15.87234646
73	15.83985063
74	15.81068063
75	15.7799447
76	15.74969753
77	15.72380291
78	15.69690408
79	15.67107999
80	15.64867205
81	15.62646138
82	15.60440066
83	15.58265511
84	15.56226737
85	15.5416494
86	15.52505763
87	15.50840952
88	15.48826703
89	15.47112591
90	15.45618425
91	15.43970762
92	15.42271851
93	15.40868685
94	15.39607192
95	15.38445822
96	15.37173628
97	15.35802926
98	15.3452492
99	15.33257242
