iter	Passed	Remaining
0	1	131
1	2	116
2	3	112
3	4	111
4	5	110
5	6	107
6	7	106
7	9	103
8	10	102
9	11	100
10	12	98
11	13	96
12	14	95
13	15	93
14	16	92
15	17	92
16	19	93
17	20	93
18	21	91
19	22	90
20	23	88
21	24	87
22	25	86
23	26	84
24	27	83
25	28	82
26	29	81
27	31	79
28	32	78
29	33	78
30	34	77
31	35	76
32	36	74
33	37	73
34	38	72
35	39	71
36	41	69
37	42	68
38	43	67
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	84	25
77	85	24
78	86	23
79	87	21
80	88	20
81	89	19
82	90	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	106	3
97	107	2
98	108	1
99	109	0
