unit_number,time_in_cycles,op_setting_1,op_setting_2,op_setting_3,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,RUL
79,45,-0.0035,0.0003,100.0,518.67,642.15,1591.36,1405.83,14.62,21.61,553.85,2388.08,9048.49,1.3,47.28,521.25,2388.01,8134.67,8.3825,0.03,392,2388,100.0,38.79,23.4154,56
17,57,-0.0048,0.0002,100.0,518.67,642.27,1583.99,1406.99,14.62,21.61,554.71,2388.04,9076.82,1.3,47.22,522.48,2388.04,8149.69,8.4036,0.03,391,2388,100.0,38.87,23.3938,108
49,231,0.0014,-0.0003,100.0,518.67,642.87,1590.31,1397.63,14.62,21.61,553.95,2388.1,9054.24,1.3,47.63,522.2,2388.09,8135.08,8.4413,0.03,392,2388,100.0,38.63,23.1976,72
80,14,0.0018,0.0002,100.0,518.67,642.54,1586.18,1409.1,14.62,21.61,553.98,2388.06,9059.38,1.3,47.39,522.18,2388.05,8143.76,8.4381,0.03,391,2388,100.0,38.97,23.2648,119
79,22,-0.0037,0.0005,100.0,518.67,642.04,1593.8,1396.02,14.62,21.61,554.58,2388.05,9046.58,1.3,47.23,522.05,2388.02,8131.92,8.3883,0.03,392,2388,100.0,38.94,23.3152,79
6,43,-0.0002,-0.0005,100.0,518.67,642.92,1584.08,1403.06,14.62,21.61,553.84,2388.15,9056.02,1.3,47.29,521.41,2388.06,8136.37,8.4137,0.03,394,2388,100.0,38.83,23.3823,62
73,6,-0.001,-0.0004,100.0,518.67,641.97,1588.0,1397.01,14.62,21.61,554.34,2388.03,9057.59,1.3,46.97,522.56,2388.02,8129.52,8.3792,0.03,392,2388,100.0,39.13,23.4396,106
26,47,0.0029,0.0006,100.0,518.67,642.82,1585.49,1396.85,14.62,21.61,553.8,2388.02,9060.44,1.3,47.29,522.31,2388.02,8150.01,8.4183,0.03,391,2388,100.0,38.98,23.2952,29
64,15,0.0008,-0.0002,100.0,518.67,642.07,1585.58,1403.27,14.62,21.61,554.07,2388.08,9057.33,1.3,47.49,522.21,2388.08,8139.02,8.4039,0.03,391,2388,100.0,38.88,23.3958,153
72,125,-0.0,0.0005,100.0,518.67,642.71,1595.96,1407.38,14.62,21.61,553.12,2388.08,9069.2,1.3,47.63,521.16,2388.1,8149.42,8.4275,0.03,394,2388,100.0,38.74,23.3426,6
52,13,-0.0024,0.0002,100.0,518.67,642.36,1584.6,1390.56,14.62,21.6,555.03,2387.95,9051.61,1.3,47.2,522.54,2388.03,8136.17,8.4239,0.03,391,2388,100.0,38.94,23.4847,176
44,27,-0.0013,-0.0002,100.0,518.67,642.78,1586.2,1404.8,14.62,21.61,554.19,2388.07,9055.66,1.3,47.25,521.33,2388.05,8131.29,8.4454,0.03,393,2388,100.0,38.96,23.5682,27
40,125,-0.0014,-0.0002,100.0,518.67,643.28,1596.69,1420.63,14.62,21.61,552.45,2388.21,9063.58,1.3,47.8,520.6,2388.22,8136.55,8.4966,0.03,395,2388,100.0,38.61,23.2147,8
34,140,-0.0017,-0.0002,100.0,518.67,642.12,1586.65,1400.89,14.62,21.61,553.62,2388.06,9058.0,1.3,47.4,522.12,2388.03,8144.21,8.4251,0.03,393,2388,100.0,39.07,23.3734,63
